iteration,avg_degree
0,24.38
1,24.22
2,24.06
3,23.91
4,23.75
5,23.59
6,23.44
7,23.28
8,23.12
9,22.97
10,22.81
11,22.66
12,22.50
13,22.34
14,22.19
15,22.03
16,21.88
17,21.72
18,21.56
19,21.41
20,21.25
21,21.09
22,20.94
23,20.78
24,20.62
25,20.47
26,20.31
27,20.16
28,20.00
29,19.84
30,19.69
31,19.53
32,19.38
33,19.22
34,19.06
35,18.91
36,18.75
37,18.59
38,18.44
39,18.28
40,18.12
41,17.97
42,17.81
43,17.66
44,17.50
45,17.34
46,17.19
47,17.03
48,16.88
49,16.72
50,16.56
51,16.41
52,16.25
53,16.09
54,15.94
55,15.78
56,15.62
57,15.47
58,15.31
59,15.16
60,15.00
61,14.84
62,14.69
63,14.53
64,14.38
65,14.22
66,14.06
67,13.91
68,13.75
69,13.59
70,13.44
71,13.28
72,13.12
73,12.97
74,12.81
75,12.66
76,12.50
