iteration,avg_degree
0,24.25
1,23.91
2,23.72
3,23.56
4,23.34
5,23.19
6,22.94
7,22.59
8,22.47
9,22.19
10,22.06
11,21.72
12,21.31
13,21.06
14,20.78
15,20.44
16,20.12
17,19.78
18,19.53
19,19.16
20,18.78
21,18.62
22,18.06
23,17.72
24,17.28
25,16.97
26,16.72
27,16.31
28,15.97
29,15.69
30,15.44
31,15.09
32,14.66
33,14.25
34,13.94
35,13.53
36,13.22
37,12.56
38,12.44
39,11.97
40,11.75
41,11.34
42,11.00
43,10.50
44,10.12
45,10.00
46,9.59
47,9.38
48,9.12
49,8.88
50,8.50
51,8.19
52,7.78
53,7.78
54,7.09
55,6.56
56,6.56
57,5.84
58,5.84
59,5.84
60,5.03
61,5.03
62,5.03
63,3.72
64,3.72
65,3.72
66,3.72
67,2.12
68,2.12
69,2.12
70,2.12
71,2.12
72,2.12
73,2.12
74,2.12
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
