iteration,avg_degree
0,23.75
1,22.28
2,21.31
3,20.56
4,19.12
5,18.19
6,17.34
7,16.59
8,15.50
9,14.75
10,14.25
11,14.00
12,13.31
13,12.56
14,11.88
15,11.50
16,11.25
17,10.66
18,10.34
19,9.78
20,9.56
21,9.22
22,9.03
23,8.84
24,8.28
25,8.19
26,7.84
27,7.81
28,7.69
29,7.41
30,7.25
31,6.66
32,6.03
33,5.47
34,4.91
35,4.75
36,4.16
37,4.00
38,3.50
39,3.09
40,2.78
41,2.47
42,2.38
43,2.19
44,1.97
45,1.59
46,1.38
47,1.19
48,1.12
49,0.88
50,0.81
51,0.66
52,0.62
53,0.50
54,0.50
55,0.41
56,0.34
57,0.31
58,0.19
59,0.12
60,0.09
61,0.03
62,0.00
63,0.00
