iteration,avg_degree
0,25.53
1,25.53
2,25.53
3,25.53
4,25.53
5,25.53
6,25.53
7,25.53
8,25.53
9,25.53
10,25.53
11,25.53
12,25.53
13,25.53
14,25.53
15,25.53
16,25.44
17,25.22
18,24.75
19,24.28
20,23.22
21,22.19
22,21.19
23,20.09
24,18.84
25,17.00
26,15.66
27,14.94
28,13.62
29,12.31
30,11.06
31,9.88
32,8.59
33,7.62
34,6.88
35,6.38
36,5.84
37,5.38
38,4.78
39,4.06
40,3.69
41,2.91
42,2.59
43,2.16
44,1.81
45,1.47
46,1.25
47,1.09
48,0.81
49,0.59
50,0.44
51,0.19
52,0.16
53,0.16
54,0.06
55,0.06
56,0.06
57,0.06
58,0.03
59,0.03
60,0.03
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
